point_differential,kick,two_pt_conv
-15,0.012608946,0.031277054
-14,0.013587742,0.03225585
-13,0.014469367,0.033137475
-12,0.015253822,0.033921929
-11,0.015941105,0.034609213
-10,0.016531218,0.035199326
-9,0.01702416,0.035692268
-8,0.017419932,0.03608804
-7,0.017718532,0.03638664
-6,0.017919962,0.03658807
-5,0.018024221,0.036692329
-4,0.01803131,0.036699418
-3,0.017941227,0.036609335
-2,0.017753974,0.036422082
-1,0.017469551,0.036137658
0,0.017087956,0.035756064
1,0.016609191,0.035277299
2,0.016033255,0.034701362
3,0.015360148,0.034028256
4,0.01458987,0.033257978
5,0.013722422,0.03239053
6,0.012757803,0.031425911
7,0.011696013,0.030364121
8,0.010537052,0.02920516
9,0.009280921,0.027949029
10,0.007927619,0.026595727
11,0.006477146,0.025145254
12,0.004929502,0.02359761
13,0.003284688,0.021952796
14,0.001542703,0.020210811
15,-0.000296453,0.018371655